fid,id,context,species_orig_pub,taxon,cf_genus,cf_sp,cf_subsp,s_type,s_foss,s_part,frr,sample_number,quantity,entity,weight_g,s_notes,AMS,discovery_report,bibliography,context_id,taxon_id,new_taxon_id,photo,qt,precise_taxon,Family,genus,specie,note
"1959","2576",T.505 - US 17,Olea cf. oleaster,Olea europaea L.,false,true,true,wood,charring,stem,true,"0","2",,,,,,"Larocca, F.,_Celant, A._2004_L’occupazione arcaica e altorepubblicana. Area T. 14: risultati delle ricerche archeobotaniche_Centocelle I, Roma SDO Le indagini archeologiche_287-287","337","8","7637",,"2",Olea europaea L.,Oleaceae,Olea,europaea,
"1960","2577",T.505 - US 18,Olea cf. oleaster,Olea europaea L.,false,true,true,wood,charring,stem,true,"0","2",,,,,,"Larocca, F.,_Celant, A._2004_L’occupazione arcaica e altorepubblicana. Area T. 14: risultati delle ricerche archeobotaniche_Centocelle I, Roma SDO Le indagini archeologiche_287-287","336","8","7637",,"2",Olea europaea L.,Oleaceae,Olea,europaea,
"1962","2582",Atrium Vestae - Room 51 S sounding part of amphora fill,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0","29",,,,,,"Costantini, L.,_Giorgi, J.A_2009_The charred plant remains_Supplements to the Memoirs of the American Academy in Rome, 8_ 125-151","268","8","7637",,"29",Olea europaea L.,Oleaceae,Olea,europaea,
"1963","2583",Atrium Vestae - Room 51 N sounding (100% fill of amphora),Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0","283",,,,,,"Costantini, L.,_Giorgi, J.A_2009_The charred plant remains_Supplements to the Memoirs of the American Academy in Rome, 8_ 125-151","269","8","7637",,"283",Olea europaea L.,Oleaceae,Olea,europaea,
"1964","2584",Atrium Vestae - Room 49 E dolium fill around pot,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0","3",,,,,,"Costantini, L.,_Giorgi, J.A_2009_The charred plant remains_Supplements to the Memoirs of the American Academy in Rome, 8_ 125-151","273","8","7637",,"3",Olea europaea L.,Oleaceae,Olea,europaea,
"1965","2585",Saggio V - Livelli sottostanti la cella del Santuario della Vittoria,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0",,,,,,,"Coletti, F.,_Celant, A.,_Pensabene Perez, P._2006_Ricerche archeologiche e paleoambientali sul Palatino tra l’età arcaica e la tardoantichità–primi risultati_Innovazioni tecnologiche per i beni culturali in Italia. Atti del convegno Pàtron_557-564","301","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
"1966","2586",undet. (Roma Palatino - N area) - VII B.c.,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0","5",,,,,,"Motta, L._2002_Planting the seed of Rome_Vegetation History and Archaeobotany, 11_71-78","8","8","7637",,"5",Olea europaea L.,Oleaceae,Olea,europaea,
"1969","2587",undet. (Roma Palatino - N area) - VI B.c.,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0","1",,,,,,"Motta, L._2002_Planting the seed of Rome_Vegetation History and Archaeobotany, 11_71-78","9","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1970","2588",undet. (Roma Sant'Omobono) - first half of the 6th century BC,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0",> 1000 ,> 1000 ,,,,"1974","Costantini, L.,_Costantini Biasini, L._1989_ I vegetali dell’area sacra di S. Omobono. G. Pisani Sartorio, P. Virgili et G. Ioppolo (éd.), Il viver quotidiano in Roma arcaica_Materiali dagli scavi del Tempio Arcaico nell’area sacra di S. Omobono, Rome_61-64","14","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
"1971","2589",undet. (Roma Sant'Omobono) - VI B.c.,Olea europaea,Olea europaea L.,false,false,false,carpological,Unspecified,Unspecified,false,"0",,,,,,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233","11","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
"1972","2590",Ambiente I - undet. (Roma Sant'Omobono),Olea europaea,Olea europaea L.,false,false,false,wood,charring,stem,true,"0",,,,,,"1974","Costantini, L.,_Costantini Biasini, L._1989_ I vegetali dell’area sacra di S. Omobono. G. Pisani Sartorio, P. Virgili et G. Ioppolo (éd.), Il viver quotidiano in Roma arcaica_Materiali dagli scavi del Tempio Arcaico nell’area sacra di S. Omobono, Rome_61-64","307","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
"1973","2591",East sewer - undet. (Roma Colosseum),Olea europaea,Olea europaea L.,false,false,false,carpological,waterlogging,"seeds, fruits or leaves",false,"0",,,,,,,"Celant, A.,_Follieri, M._1992_Archaeobotany of the East sewer of the Colosseum_OFP Informations","310","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
"1974","2592",1 III B,Olea europaea,Olea europaea L.,false,false,false,carpological,waterlogging,Unspecified,false,"0","1",,,,,"1973","Follieri, M._1975_Resti vegetali microscopici nel collettore ovest del Colosseo_Annali di botanica_34","313","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1975","2593",2 III B,Olea europaea,Olea europaea L.,false,false,false,carpological,waterlogging,Unspecified,false,"0","1",,,,,"1973","Follieri, M._1975_Resti vegetali microscopici nel collettore ovest del Colosseo_Annali di botanica_34","311","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1976","2594",3 III B,Olea europaea,Olea europaea L.,false,false,false,carpological,waterlogging,Unspecified,false,"0","2",,,,,"1973","Follieri, M._1975_Resti vegetali microscopici nel collettore ovest del Colosseo_Annali di botanica_34","312","8","7637",,"2",Olea europaea L.,Oleaceae,Olea,europaea,
"1977","2595",US 3,Olea europaea,Olea europaea L.,false,false,false,carpological,desiccation,Unspecified,false,"0","54",,,,,"1996","Moricca, C.,_Alhaique, F.,_Barelli, L.,_Masi, A.,_Morretta, S.,_Pugliese, R.,_Sadori, L._2018_Early arrival of New World species enriching the biological assemblage of the Santi Quattro Coronati Complex (Rome, Italy)_INTERDISCIPLINARIA ARCHAEOLOGICA, 9_83-93","319","8","7637",,"54",Olea europaea L.,Oleaceae,Olea,europaea,
"1978","2597",Dock - PTS13 4.70 4.81 m,Olea europaea,Olea europaea L.,false,false,false,carpological,waterlogging,remain,false,"0","5",,,numers of remains ca.,,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81","386","8","7637",,"5",Olea europaea L.,Oleaceae,Olea,europaea,
"1979","2598",undet. (Blera Le Pozze),Olea europaea,Olea europaea L.,false,false,false,carpological,Unspecified,Unspecified,false,"0",,,,,,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233","511","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
"1980","2599",Well 23,Olea europaea,Olea europaea L.,false,false,false,carpological,waterlogging,endocarp,false,"0","1",,,,,1986-1987,"Costantini, L.,_Giorgi, J. A._1987_Blera. I resti vegetali. L’alimentazione nel mondo antico_Gli Etruschi, Ministerio per i Beni Culturali e Ambientali 2) Ministerio per i Beni Culturali e Ambientali, Roma_83-87","512","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1981","2600",Well 23,Olea europaea,Olea europaea L.,false,false,false,carpological,waterlogging,endocarp ,true,"0","1",,,,,1986-1987,"Costantini, L.,_Giorgi, J. A._1987_Blera. I resti vegetali. L’alimentazione nel mondo antico_Gli Etruschi, Ministerio per i Beni Culturali e Ambientali 2) Ministerio per i Beni Culturali e Ambientali, Roma_83-87","512","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1982","2601",2 - US 198/1 - riempimento buca 198,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,endocarp ,true,"0","1",,,,,,"Bedini, E.,_Rottoli, M.,_Fornaciari, G.,_Mallegni, F.,_Liborio, G._1997_Analisi di laboratorio. Tarquinia: testimonianze archeologiche e ricostruzione storica: scavi sistematici nell'abitato: campagne 1982-1988_Tarchna/Università degli studi di Milano 1_91-144","72","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1983","2602",14 - US 342 - strato con tracce di combustione,Olea europaea,Olea europaea L.,false,false,false,wood,charring,stem,true,"0","5",,,,,,"Bedini, E.,_Rottoli, M.,_Fornaciari, G.,_Mallegni, F.,_Liborio, G._1997_Analisi di laboratorio. Tarquinia: testimonianze archeologiche e ricostruzione storica: scavi sistematici nell'abitato: campagne 1982-1988_Tarchna/Università degli studi di Milano 1_91-144","523","8","7637",,"5",Olea europaea L.,Oleaceae,Olea,europaea,
"1984","2603",Pit 181 - context 243,Olea europaea,Olea europaea L.,false,false,false,carpological,mineralization,seed,false,"0","1",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","541","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1985","2604",Pit 181 - context 243,Olea europaea,Olea europaea L.,false,false,false,carpological,mineralization,Endocarp,false,"0","1",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","541","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1987","2605",Pit 181 - context 228,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Endocarp,false,"0","104",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","531","8","7637",,"104",Olea europaea L.,Oleaceae,Olea,europaea,
"1988","2606",Pit 181 - context 234,Olea europaea,Olea europaea L.,false,false,false,carpological,mineralization,seed,false,"0","6",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","543","8","7637",,"6",Olea europaea L.,Oleaceae,Olea,europaea,
"1989","2607",Pit 4 - context 19,Olea europaea,Olea europaea L.,false,false,false,carpological,mineralization,seed,false,"0","1",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","548","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1990","2608",Pit 4 - context 19,Olea europaea,Olea europaea L.,false,false,false,carpological,mineralization,Endocarp,false,"0","1",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","548","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1993","2609",Pit 9 - context 20,Olea europaea,Olea europaea L.,false,false,false,carpological,mineralization,seed,false,"0","2",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","542","8","7637",,"2",Olea europaea L.,Oleaceae,Olea,europaea,
"1994","2610",Pit 9 - context 20,Olea europaea,Olea europaea L.,false,false,false,carpological,mineralization,Endocarp,false,"0","2",,,,,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321","542","8","7637",,"2",Olea europaea L.,Oleaceae,Olea,europaea,
"1995","2611",Ash - D337,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0","1",,,,,,"Giorgi, J. A.,_Potter, T. W._King, A. C.,_1997_The charred plant remains_Excavations at the Mola di Monte Gelato, 11_407-411","578","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"1998","2616",Planting holes,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0","44",,,,,,"Masi, A.,_Vignola, C.,_Lazzara, A.,_Moricca, C., Serlorenzi, M.,_ Ferrandes, A. F._2024_The first extensive study of an Imperial Roman Garden in the city of Rome: the Horti Lamiani_Vegetation History and Archaeobotany, 33(1)_111-120","638","8","7637",,"44",Olea europaea L.,Oleaceae,Olea,europaea,
"1999","2617",Plant pots,Olea europaea,Olea europaea L.,false,false,false,carpological,charring,Unspecified,false,"0","5",,,,,,"Masi, A.,_Vignola, C.,_Lazzara, A.,_Moricca, C., Serlorenzi, M.,_ Ferrandes, A. F._2024_The first extensive study of an Imperial Roman Garden in the city of Rome: the Horti Lamiani_Vegetation History and Archaeobotany, 33(1)_111-120","640","8","7637",,"5",Olea europaea L.,Oleaceae,Olea,europaea,
"2000","2618",Planting holes,Olea europaea,Olea europaea L.,false,false,false,wood,charring,stem,true,"0","16",,,,,,"Masi, A.,_Vignola, C.,_Lazzara, A.,_Moricca, C., Serlorenzi, M.,_ Ferrandes, A. F._2024_The first extensive study of an Imperial Roman Garden in the city of Rome: the Horti Lamiani_Vegetation History and Archaeobotany, 33(1)_111-120","638","8","7637",,"16",Olea europaea L.,Oleaceae,Olea,europaea,
"2001","2619",Plant pots,Olea europaea,Olea europaea L.,false,false,false,wood,charring,stem,true,"0","1",,,,,,"Masi, A.,_Vignola, C.,_Lazzara, A.,_Moricca, C., Serlorenzi, M.,_ Ferrandes, A. F._2024_The first extensive study of an Imperial Roman Garden in the city of Rome: the Horti Lamiani_Vegetation History and Archaeobotany, 33(1)_111-120","640","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"2002","2620",Filling deposits,Olea europaea,Olea europaea L.,false,false,false,wood,charring,stem,true,"0","11",,,,,,"Masi, A.,_Vignola, C.,_Lazzara, A.,_Moricca, C., Serlorenzi, M.,_ Ferrandes, A. F._2024_The first extensive study of an Imperial Roman Garden in the city of Rome: the Horti Lamiani_Vegetation History and Archaeobotany, 33(1)_111-120","639","8","7637",,"11",Olea europaea L.,Oleaceae,Olea,europaea,
"2004","2622",Trench 8000(context:8045),Olea europaea,Olea europaea L.,false,false,false,carpological,charring,endocarp ,true,"8045.26","4",,,,,,"Shelton, C. P._2009_Food, Economy, and Identity in the Sangro River Valley, Abruzzo, Italy, 650 BC-AD 150_ProQuest_1-361","148","8","7637",,"4",Olea europaea L.,Oleaceae,Olea,europaea,
"2005","2623",Fondo del Fossato,olivo,Olea europaea L.,false,false,false,carpological,charring,remain,,,,,,,,"2008","Carra, M._2010_Castello di Gerione: l’utilizzo delle risorse vegetali. Analisi dei macroresti prelevati nelle campagne di scavo 2008 e 2009_Castello di Gerione. Ricerche topografiche e scavi. Atlante tematico di Topografia Antica_159-174","809","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
"2006","2624",undet. (San Vincenzo al Volturno),Olea europaea,Olea europaea L.,false,false,false,carpological,charring,seed,,,0 - 100,0 - 100,,the number of remains found is not related to a specific stratigraphic unit but to the total sum of studied remains,,2001-2002,"Carannante, A.,_Marazzi, F.,_Gobbi, A._2007_Il lavoro nella Regola. L'approvvigionamento alimentare e il cantiere edile a San Vincenzo al Volturno fra IX e XI secolo_QUADERNI DELLA RICERCA SCIENTIFICA, SERIE BENI CULTURALI 8_1-268","845","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
"2007","2625",Giardino della Domus dei Coiedii - Gruppo 1,Olive,Olea europaea L.,false,false,false,carpological,charring,endocarp,false,,,,,,,,"Giorgi, E.,_Lepore, G.,_Carra, M._2010_Archeologia nella valle del Cesano da Suasa a Santa Maria in Portuno_Atti del Convegno per i venti anni di ricerche dell’Università di Bologna (Castelleone di Suasa, Corinaldo, San Lorenzo in Campo, 18-19 dicembre 2008), Bologna_121-124","97","8","7637",,,Olea europaea L.,Oleaceae,Olea,europaea,
"2015","2631",Near Votive Features 4,Olea europea,Olea europaea L.,false,false,false,carpological,charring,halves,,54N/4E2. Bag 2-3,"2",,,,,,"Cottini, M._2009_Archaeobotanical analysis in Zone II. The Sanctuary of the Etruscan Artisans at Cetamura del Chianti_The Legacy of Alvaro Tracchi_175-87","862","8","7637",,"2",Olea europaea L.,Oleaceae,Olea,europaea,
"2016","2627",A7-US175c,Olea europaea L.,Olea europaea L.,false,false,false,wood,charring,stem,true,"3","3",,,,,17/12/87,"Abbate Edlmann, M. L.,_Giachi, G.,_Mariotti, M._2001_I resti antracologici_Monte Torto di Osimo. L’impianto produttivo_Servizio Editoria della Soprintendenza Archeologica per le Marche_203-213","773","8","7637",,"3",Olea europaea L.,Oleaceae,Olea,europaea,
"2017","2629",A10-US287,Olea europaea L.,Olea europaea L.,false,false,false,wood,charring,stem,true,"9","12",,,,,20/07/93,"Abbate Edlmann, M. L.,_Giachi, G.,_Mariotti, M._2001_I resti antracologici_Monte Torto di Osimo. L’impianto produttivo_Servizio Editoria della Soprintendenza Archeologica per le Marche_203-213","778","8","7637",,"12",Olea europaea L.,Oleaceae,Olea,europaea,
"2021","2632",US 11040,cf. Olea europaea L.,Olea europaea L.,true,true,true,carpological,charring,Endocarp,,M2,"1",,,,,,"Mercuri, A.M.,_Rattighieri, E.,_Rinaldi, R._2021_The Roman Peasant Project 2009-2014: Excavating the Roman Rural Poor (Vol. 154)_University of Pennsylvania Press_317-336","959","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"2022","2633",US 10055,Olea europaea L.,Olea europaea L.,false,false,false,carpological,charring,Endocarp,,M14,"1",,,,,,"Mercuri, A.M.,_Rattighieri, E.,_Rinaldi, R._2021_The Roman Peasant Project 2009-2014: Excavating the Roman Rural Poor (Vol. 154)_University of Pennsylvania Press_317-336","954","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"2023","2634",US 10130,Olea europaea L.,Olea europaea L.,false,false,false,carpological,charring,Endocarp,,M16,"2",,,,,,"Mercuri, A.M.,_Rattighieri, E.,_Rinaldi, R._2021_The Roman Peasant Project 2009-2014: Excavating the Roman Rural Poor (Vol. 154)_University of Pennsylvania Press_317-336","970","8","7637",,"2",Olea europaea L.,Oleaceae,Olea,europaea,
"2239","2596",US 4 (CLA 26),Olea europaea,Olea europaea L.,false,false,false,carpological,desiccation,Unspecified,false,"0","96",,,,,"1996","Moricca, C.,_Alhaique, F.,_Barelli, L.,_Masi, A.,_Morretta, S.,_Pugliese, R.,_Sadori, L._2018_Early arrival of New World species enriching the biological assemblage of the Santi Quattro Coronati Complex (Rome, Italy)_INTERDISCIPLINARIA ARCHAEOLOGICA, 9_83-93","16","8","7637",,"96",Olea europaea L.,Oleaceae,Olea,europaea,
"2250","2613",Vessel B ,Olea europaea,Olea europaea L.,false,false,false,carpological,waterlogging,Unspecified,false,"0","1",,,,,,"Kodýdková, K.,_Beneš, J.,_Komárková, V.,_Paclíková, K._2013_Pilot archaeobotanical analysis of the sediment the well 112 in Pyrgi, Santa Severa_Archaeologia maritima mediterranea: International Journal on Underwater Archaeology: 10, 2013_181-190","756","8","7637",,"1",Olea europaea L.,Oleaceae,Olea,europaea,
"2254","2626","A8-CS2, US303 (base)",Olea europaea L.,Olea europaea L.,false,false,false,wood,charring,stem,true,"2","150",,,,,"1993","Abbate Edlmann, M. L.,_Giachi, G.,_Mariotti, M._2001_I resti antracologici_Monte Torto di Osimo. L’impianto produttivo_Servizio Editoria della Soprintendenza Archeologica per le Marche_203-213","772","8","7637",,"150",Olea europaea L.,Oleaceae,Olea,europaea,
"2255","2628","A2??-ER1, US202",Olea europaea L.,Olea europaea L.,false,false,false,wood,charring,stem,true,"8","2",,,,,"1993","Abbate Edlmann, M. L.,_Giachi, G.,_Mariotti, M._2001_I resti antracologici_Monte Torto di Osimo. L’impianto produttivo_Servizio Editoria della Soprintendenza Archeologica per le Marche_203-213","777","8","7637",,"2",Olea europaea L.,Oleaceae,Olea,europaea,
"2256","2630","A10-BT3, US309",Olea europaea L.,Olea europaea L.,false,false,false,wood,charring,stem,true,"10","15",,,,,15/09/93,"Abbate Edlmann, M. L.,_Giachi, G.,_Mariotti, M._2001_I resti antracologici_Monte Torto di Osimo. L’impianto produttivo_Servizio Editoria della Soprintendenza Archeologica per le Marche_203-213","779","8","7637",,"15",Olea europaea L.,Oleaceae,Olea,europaea,
"2300","6057",3 III B,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,seed,false,"0","18",,,,,"1973","Follieri, M._1975_Resti vegetali microscopici nel collettore ovest del Colosseo_Annali di botanica_34","312","9","11130",,"18",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"2623","6058",4 III A,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,seed,false,"0","2",,,,,"1973","Follieri, M._1975_Resti vegetali microscopici nel collettore ovest del Colosseo_Annali di botanica_34","314","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4518","6056",2 III B,Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,seed,false,"0","2",,,,,"1973","Follieri, M._1975_Resti vegetali microscopici nel collettore ovest del Colosseo_Annali di botanica_34","311","9","11130",,"2",Vitis vinifera L.,Vitaceae,Vitis,vinifera,
"4605","6055",East sewer - undet. (Roma Colosseum),Vitis vinifera,Vitis vinifera L.,false,false,false,carpological,waterlogging,"seeds, fruits or leaves",false,"0",,,,,,,"Celant, A.,_Follieri, M._1992_Archaeobotany of the East sewer of the Colosseum_OFP Informations","310","9","11130",,,Vitis vinifera L.,Vitaceae,Vitis,vinifera,
