fid,site_code,context_name,parent_context,parent_id,type,chron_orig,c_appr,typology,c_notes,site_name_brain,macro_context_name,site_id,source_type,source,bibliography,region,province,chronology_iccd,parent_chronology_iccd
"313",CLA23,1 III B,Roma - Colosseum (settlement),"308",micro,second half of the 4th century AD,"3",settlement,,Roma - Colosseum,,"284",,,"Follieri, M._1975_Resti vegetali microscopici nel collettore ovest del Colosseo_Annali di botanica_34",Lazio,Roma,,Tarda Antichità
"314",CLA23,4 III A,Roma - Colosseum (settlement),"308",micro,second half of the 4th century AD,"3",settlement,,Roma - Colosseum,,"284",,,"Follieri, M._1975_Resti vegetali microscopici nel collettore ovest del Colosseo_Annali di botanica_34",Lazio,Roma,,Tarda Antichità
"316",CLA24,undet. (Roma Valle del Colosseo),Roma - Valle del Colosseo (settlement),"315",micro,,"3",settlement,,Roma - Valle del Colosseo,,"285",,,"Celant, A.,_Magri, D._1999_Archaeobotanical study of a sediment core from the Colosseum valley_Riassunti 94° Congresso della Società Botanica Italiana_40",Lazio,Roma,,Periodo Imperiale (Roma)
"318",CLA25,undet. (Roma Arco di Costantino),Roma - Arco di Costantino (settlement),"317",micro,14th-15th century AD,"3",settlement,,Roma - Arco di Costantino,,"286",,,"Celant, A.,_Altieri, A._1995_Ricerche archeobotaniche da una fossa medievale presso l’Arco di Costantino (Roma)_Giornale Botanico Italiano, 129_224-224",Lazio,Roma,,Rinascimento
"319",CLA26,US 3,Roma - Ss. Quattro Coronati (settlement),"15",micro,end 15th century - mid 16th century AD,"3",settlement,discard pit,Roma - Ss. Quattro Coronati,,"287",,,"Moricca, C.,_Alhaique, F.,_Barelli, L.,_Masi, A.,_Morretta, S.,_Pugliese, R.,_Sadori, L._2018_Early arrival of New World species enriching the biological assemblage of the Santi Quattro Coronati Complex (Rome, Italy)_INTERDISCIPLINARIA ARCHAEOLOGICA, 9_83-93",Lazio,Roma,Early modern,Periodo Moderno
"322",CLA27,undet. (Roma Testaccio Nuovo Mercato),Roma - Testaccio - Nuovo Mercato (settlement),"321",micro,,"3",settlement,,Roma - Testaccio - Nuovo Mercato,,"288",,,"Stellati, A.,_Colaianni, G.,_Fiorentino, G.,_Sebastiani, R.,_Contino, A._2013_Land use and crop production in the urban area of Rome: new data from the “Nuovo Mercato” of Monte Testaccio (Rome, Italy)_In 16th Conference of the International Work Group for Palaeoethnobotany-Abstract Book_158-159",Lazio,Roma,,da identificare
"332",CLA31,T.505 - US 15,Roma - Centocelle - Area T. 505 (settlement),"17",micro,epoca arcaica,"3",settlement,filling material,Roma - Centocelle - Area T. 505,,"292",,,"Larocca, F.,_Celant, A._2004_L’occupazione arcaica e altorepubblicana. Area T. 14: risultati delle ricerche archeobotaniche_Centocelle I, Roma SDO Le indagini archeologiche_287-287",Lazio,Roma,,Periodo Arcaico (Roma)
"335",CLA31,US 14,Roma - Centocelle - Area T. 505 (settlement),"17",micro,età repubblicana,"3",settlement,channels - diches and tunnels,Roma - Centocelle - Area T. 505,,"292",,,"Larocca, F.,_Celant, A._2004_L’occupazione arcaica e altorepubblicana. Area T. 14: risultati delle ricerche archeobotaniche_Centocelle I, Roma SDO Le indagini archeologiche_287-287",Lazio,Roma,,Periodo Repubblicano (Roma)
"336",CLA31,T.505 - US 18,Roma - Centocelle - Area T. 505 (settlement),"17",micro,epoca arcaica,"3",settlement,filling material,Roma - Centocelle - Area T. 505,,"292",,,"Larocca, F.,_Celant, A._2004_L’occupazione arcaica e altorepubblicana. Area T. 14: risultati delle ricerche archeobotaniche_Centocelle I, Roma SDO Le indagini archeologiche_287-287",Lazio,Roma,,Periodo Arcaico (Roma)
"337",CLA31,T.505 - US 17,Roma - Centocelle - Area T. 505 (settlement),"17",micro,epoca arcaica,"3",settlement,filling material,Roma - Centocelle - Area T. 505,,"292",,,"Larocca, F.,_Celant, A._2004_L’occupazione arcaica e altorepubblicana. Area T. 14: risultati delle ricerche archeobotaniche_Centocelle I, Roma SDO Le indagini archeologiche_287-287",Lazio,Roma,,Periodo Arcaico (Roma)
"367",CLA34,Area 1 - undet. (Roma Quadrato di Torre Spaccata),Roma - Quadrato di Torre Spaccata (settlement),"19",micro,,"3",settlement,,Roma - Quadrato di Torre Spaccata,,"295",,,"Celant, A._1995_ Macroresti vegetali del livello neolitico nell’insediamento di Quadrato di Torre Spaccata (Roma)_Origini, 10_277-286",Lazio,Roma,Neolitico Finale,Neolitico
"372",CLA34,undet. (Roma Quadrato di Torre Spaccata) - T38S (ammasso di concotto),Roma - Quadrato di Torre Spaccata (settlement),"19",micro,,"3",settlement,,Roma - Quadrato di Torre Spaccata,,"295",,,"Celant, A._2002_Ricerche paleobotaniche nel villaggio eneolitico di Le Cerquete-Fianello (Maccarese, Fiumicino)_Le dune, il lago, il mare: una comunità di villaggio dell’età del Rame a Maccarese_249-252",Lazio,Roma,Neolitico Finale,Neolitico
"382",CLA38,Canale Traverso - PTS5 5.76 5.81 m,Fiumicino - Portus (underwater),"379",micro,4th century AD,"3",settlement,,Fiumicino - Portus,,"299",,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81",Lazio,Roma,Età tardoimperiale,Periodo Imperiale (Roma)
"383",CLA38,Canale Traverso - PTS5 4.60 4.66 m,Fiumicino - Portus (underwater),"379",micro,4th century AD,"3",settlement,,Fiumicino - Portus,,"299",,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81",Lazio,Roma,Età tardoimperiale,Periodo Imperiale (Roma)
"386",CLA38,Dock - PTS13 4.70 4.81 m,Fiumicino - Portus (underwater),"379",micro,,"3",settlement,,Fiumicino - Portus,,"299",,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81",Lazio,Roma,,Periodo Imperiale (Roma)
"389",CLA38,Canale Traverso - PTS5 8.50 8.55 m,Fiumicino - Portus (underwater),"379",micro,4th century AD,"3",settlement,,Fiumicino - Portus,,"299",,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81",Lazio,Roma,Età tardoimperiale,Periodo Imperiale (Roma)
"392",CLA38,Dock - PTS13 2.70 2.82 m,Fiumicino - Portus (underwater),"379",micro,,"3",settlement,,Fiumicino - Portus,,"299",,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81",Lazio,Roma,,Periodo Imperiale (Roma)
"394",CLA38,Canale Traverso - PTS5 8.55 8.60 m,Fiumicino - Portus (underwater),"379",micro,4th century AD,"3",settlement,,Fiumicino - Portus,,"299",,,"Pepe, C.,_Giardini, M.,_Giraudi, C.,_Masi, A.,_Mazzini, I.,_Sadori, L._2013_Plant landscape and environmental changes recorded in marginal marine environments: the ancient Roman harbour of Portus (Rome, Italy)_Quaternary International, 303_73-81",Lazio,Roma,Età tardoimperiale,Periodo Imperiale (Roma)
"401",CLA40,undet. (Lago Albano - Villaggio delle Macine),Lago Albano - Villaggio delle Macine (underwater),"400",micro,,"3",underwater,,Lago Albano - Villaggio delle Macine,,"301",,,"Carra, M.,_Cattani, L.,_Rizzi, M._2007_L’economia di sussistenza al Villaggio delle Macine (Castel Gandolfo, Roma) su basi paleocarpologiche_Atti della XL Riunione Scientifica “Strategie di insediamento fra Lazio e Campania in età preistorica e protostorica”. ISTITUTO ITALIANO DI PREISTORIA E PROTOSTORIA_775-786",Lazio,Roma,"Età del Bronzo antico ; Età del Bronzo medio",Età del Bronzo
"407",CLA41,fllor of a mid-Vth hut - sampled as fn3,Allumiere - La Fontanaccia (settlement),"402",micro,mid-5th century AD,"2",settlement,"From the floor of this modest Late Antique ‘hut’, a large amount of charred material was recovered. The archaeobotanical samples were divided into 12 units, but the lack of further reference points makes it impossible to provide a distinct attribution for each of them",Allumiere - La Fontanaccia,,"302",,,"Sadori, L.,_Susanna, F._2005_Hints of economic change during the late Roman Empire period in central Italy: a study of charred plant remains from “La Fontanaccia”, near Rome_Vegetation History and Archaeobotany, 14_386-393",Lazio,Roma,,Tarda Antichità
"414",CLA41,fllor of a mid-Vth hut - sampled as fn8,Allumiere - La Fontanaccia (settlement),"402",micro,mid-5th century AD,"2",settlement,"From the floor of this modest Late Antique ‘hut’, a large amount of charred material was recovered. The archaeobotanical samples were divided into 12 units, but the lack of further reference points makes it impossible to provide a distinct attribution for each of them",Allumiere - La Fontanaccia,,"302",,,"Sadori, L.,_Susanna, F._2005_Hints of economic change during the late Roman Empire period in central Italy: a study of charred plant remains from “La Fontanaccia”, near Rome_Vegetation History and Archaeobotany, 14_386-393",Lazio,Roma,,Tarda Antichità
"430",CLA43,undet. (Anguillara Sabazia Mura de Santo Stefano),Anguillara Sabazia - Mura de Santo Stefano (sacred),"429",micro,9th-11th century AD,"3",sacred,,Anguillara Sabazia - Mura de Santo Stefano,,"304",,,"Costantini, L.,_Costantini, L.,_Napolitano, G.,_Whitehouse, D._1983_Cereali e legumi medievali provenienti dalle mura di Santo Stefano. Anguillara Sabazia (Roma)_Archeologia Medievale, 10, 393-414",Lazio,Roma,,Medioevo
"433",CLA44,room D - D 18,S. Angelo Romano - Grotta dello Sventatoio (settlement),"432",micro,fase avanzata della media età del Bronzo,"3",settlement,,S. Angelo Romano - Grotta dello Sventatoio,,"305",,,"Costantini, L.,_Costantini Biasini, L._2007_Economia agricola del Lazio a sud del Tevere tra Bronzo antico e Bronzo medio_Atti della XL riunione scientifica Istituto Italiano di Preistoria e Protostoria_ 787-801",Lazio,Roma,Età del Bronzo medio,Età del Bronzo
"450",CLA46,Casa del Nostromo - US 215,Santa Severa - Castello (funerary),"442",micro,7th-8th century AD,"3",funerary,,Santa Severa - Castello,,"307",,,"Susanna, F.,_Enei, F._2013_Studio archeobotanico di macroresti provenienti dal sito di Santa Severa. Primi risultati. Santa Severa—Tra leggenda e realtà storica_Viterbo, Italy: Ceccarelli Editrice Srl_234-236",Lazio,Roma,Alto Medioevo,Medioevo
"451",CLA46,Casa del Nostromo - US 283,Santa Severa - Castello (funerary),"442",micro,7th-8th century AD,"3",funerary,,Santa Severa - Castello,,"307",,,"Susanna, F.,_Enei, F._2013_Studio archeobotanico di macroresti provenienti dal sito di Santa Severa. Primi risultati. Santa Severa—Tra leggenda e realtà storica_Viterbo, Italy: Ceccarelli Editrice Srl_234-236",Lazio,Roma,Alto Medioevo,Medioevo
"478",CLA52,QIV,Lago di Bolsena - Gran Carro (underwater),"65",micro,12th-8th century BC,"3",underwater,,Lago di Bolsena - Gran Carro,,"313",,,"Costantini, L.,_Costantini Biasini, L._1987_Bolsena-Gran Carro. I resti vegetali. L’alimentazione nel Mondo Antico (Gli Etruschi)_Ministerio per i Beni Culturali e Ambientali: Roma, Italy_83-87",Lazio,Viterbo,Età del Bronzo recente,"Età del Bronzo ; Età del Ferro"
"479",CLA52,Q2 - Str. 9,Lago di Bolsena - Gran Carro (underwater),"65",micro,12th-8th century BC,"3",underwater,,Lago di Bolsena - Gran Carro,,"313",,,"Costantini, L.,_Biasini, L. C.,_Scali, S._1997_Significato e limiti della ricerca archeobotanica nel sito del Gran Carro, Bolsena (Vt)_Forma lacus antique, Atti 3 Seminario di Geoarcheologia. Bollettino di Studi e Ricerche XII_39-58",Lazio,Viterbo,Età del Bronzo recente,"Età del Bronzo ; Età del Ferro"
"480",CLA52,Vessel 6,Lago di Bolsena - Gran Carro (underwater),"65",micro,periodo villanoviano,"3",underwater,pottery vessels,Lago di Bolsena - Gran Carro,,"313",,,"Hopf, M.,_Tamburini P._1995_Determinazione dei resti vegetali del villaggio del “Gran Carro”(Lago di Bolsena, Viterbo): Scavo 1980. Il “Gran Carro” sul Lago di Bolsena (1959–1985)_Archaeologica_136-138",Lazio,Viterbo,,Villanoviano
"481",CLA52,QI,Lago di Bolsena - Gran Carro (underwater),"65",micro,12th-8th century BC,"3",underwater,,Lago di Bolsena - Gran Carro,,"313",,,"Costantini, L.,_Costantini Biasini, L._1987_Bolsena-Gran Carro. I resti vegetali. L’alimentazione nel Mondo Antico (Gli Etruschi)_Ministerio per i Beni Culturali e Ambientali: Roma, Italy_83-87",Lazio,Viterbo,Età del Bronzo finale,"Età del Bronzo ; Età del Ferro"
"482",CLA52,QII,Lago di Bolsena - Gran Carro (underwater),"65",micro,12th-8th century BC,"3",underwater,,Lago di Bolsena - Gran Carro,,"313",,,"Costantini, L.,_Costantini Biasini, L._1987_Bolsena-Gran Carro. I resti vegetali. L’alimentazione nel Mondo Antico (Gli Etruschi)_Ministerio per i Beni Culturali e Ambientali: Roma, Italy_83-87",Lazio,Viterbo,Età del Bronzo finale,"Età del Bronzo ; Età del Ferro"
"483",CLA52,QIII,Lago di Bolsena - Gran Carro (underwater),"65",micro,12th-8th century BC,"3",underwater,,Lago di Bolsena - Gran Carro,,"313",,,"Costantini, L.,_Costantini Biasini, L._1987_Bolsena-Gran Carro. I resti vegetali. L’alimentazione nel Mondo Antico (Gli Etruschi)_Ministerio per i Beni Culturali e Ambientali: Roma, Italy_83-87",Lazio,Viterbo,Età del Bronzo finale,"Età del Bronzo ; Età del Ferro"
"489",CLA52,undet. (Lago di Bolsena - Gran Carro),Lago di Bolsena - Gran Carro (underwater),"65",micro,IX sec. a.C.,"3",underwater,,Lago di Bolsena - Gran Carro,,"313",,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233",Lazio,Viterbo,,Età del Ferro
"500",CLA53,undet. (Valentano Santa Maria),Valentano - Santa Maria (settlement),"499",micro,end of 13th-beginning of 14th century,"3",undet.,,Valentano - Santa Maria,,"314",,,"Sadori, L.,_Celauro, F.,_Gobbi, E.,_Masi, A.,_Paganelli, M.,_Petitti, P.,_Rossi, F.,_Sabato, D._2013_A Medieval-Renaissance picture of common and aristocratic use of plants at Valentano (northern Latium, central Italy)_Abstract IWGP_156",Lazio,Viterbo,Basso Medioevo,Medioevo
"506",CLA54,wall cavity,Valentano - Rocca Farnese (settlement),"505",micro,1470-1500 AD,"3",settlement,,Valentano - Rocca Farnese,,"315",,,"Sadori, L.,_Celauro, F.,_Gobbi, E.,_Masi, A.,_Paganelli, M.,_Petitti, P.,_Rossi, F.,_Sabato, D._2013_A Medieval-Renaissance picture of common and aristocratic use of plants at Valentano (northern Latium, central Italy)_Abstract IWGP_156",Lazio,Viterbo,,Rinascimento
"511",CLA56,undet. (Blera Le Pozze),Blera - Le Pozze (settlement),"510",micro,IV-III sec. a.C.,"3",undet.,,Blera - Le Pozze,,"317",,,"Costantini, L._2002_Italia centro-meridionale_Storia dell’agricoltura italiana, 1_221-233",Lazio,Viterbo,Prima Repubblica (Roma),Periodo Repubblicano (Roma)
"512",CLA56,Well 23,Blera - Le Pozze (settlement),"510",micro,4th-3d century BC,"3",settlement,,Blera - Le Pozze,,"317",,,"Costantini, L.,_Giorgi, J. A._1987_Blera. I resti vegetali. L’alimentazione nel mondo antico_Gli Etruschi, Ministerio per i Beni Culturali e Ambientali 2) Ministerio per i Beni Culturali e Ambientali, Roma_83-87",Lazio,Viterbo,Prima Repubblica (Roma),Periodo Repubblicano (Roma)
"514",CLA57,US 814,Tarquinia (sacred),"70",micro,5th century BC,"3",sacred,,Tarquinia,,"318",,,"Bonghi Jovino, M.,_Bagnasco Gianni, G._2005_Offerte dal regno vegetale e dal regno animale nelle manifestazioni del sacro_atti dell'incontro di studio, Milano, 26-27 giugno 2003_113-122",Lazio,Viterbo,Prima Repubblica (Roma),Periodo Repubblicano (Roma)
"515",CLA57,US 813,Tarquinia (sacred),"70",micro,5th century BC,"3",sacred,,Tarquinia,,"318",,,"Bonghi Jovino, M.,_Bagnasco Gianni, G._2005_Offerte dal regno vegetale e dal regno animale nelle manifestazioni del sacro_atti dell'incontro di studio, Milano, 26-27 giugno 2003_113-122",Lazio,Viterbo,Prima Repubblica (Roma),Periodo Repubblicano (Roma)
"516",CLA57,alpha - olla 1,Tarquinia (sacred),"70",micro,,"3",sacred,,Tarquinia,,"318",,,"Chiesa, F._2005_Un rituale di fondazione nell'area alpha di Tarquinia. Offerte dal regno vegetale e dal regno animale nelle manifestazioni del sacro_atti dell'incontro di studio, Milano 26-27 giugno 2003.Tarchna. Supplemento/Università degli studi di Milano 1_103-110",Lazio,Viterbo,Periodo Etrusco Arcaico,Periodo Etrusco
"517",CLA57,alpha - olla 2,Tarquinia (sacred),"70",micro,,"3",sacred,,Tarquinia,,"318",,,"Chiesa, F._2005_Un rituale di fondazione nell'area alpha di Tarquinia. Offerte dal regno vegetale e dal regno animale nelle manifestazioni del sacro_atti dell'incontro di studio, Milano 26-27 giugno 2003.Tarchna. Supplemento/Università degli studi di Milano 1_103-110",Lazio,Viterbo,Periodo Etrusco Arcaico,Periodo Etrusco
"518",CLA57,"Tarquinia, aerea urbana, deposito reiterato",Tarquinia (undet.),"69",micro,,"3",settlement,,Tarquinia,,"318",,,"Rottoli, M._2001_Analisi botaniche_Tarquinia Etrusca. Una nuova storia_59-61",Lazio,Viterbo,Periodo Etrusco Arcaico,Periodo Etrusco
"523",CLA57,14 - US 342 - strato con tracce di combustione,Tarquinia (settlement),"68",micro,5th century BC,"3",settlement,,Tarquinia,,"318",,,"Bedini, E.,_Rottoli, M.,_Fornaciari, G.,_Mallegni, F.,_Liborio, G._1997_Analisi di laboratorio. Tarquinia: testimonianze archeologiche e ricostruzione storica: scavi sistematici nell'abitato: campagne 1982-1988_Tarchna/Università degli studi di Milano 1_91-144",Lazio,Viterbo,Prima Repubblica (Roma),Periodo Repubblicano (Roma)
"531",CLA58,Pit 181 - context 228,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,Basso Medioevo,Medioevo
"532",CLA58,Pit 27 - context 35,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1150-1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,,Medioevo
"533",CLA58,Pit 181 - context 236,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,Basso Medioevo,Medioevo
"534",CLA58,Pit 179 - context 204,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1150-1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,,Medioevo
"535",CLA58,Pit 181 - context 242,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1150-1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,,Medioevo
"536",CLA58,Pit 181 - context 230,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,Basso Medioevo,Medioevo
"537",CLA58,Pit 181 - context 237,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,Basso Medioevo,Medioevo
"539",CLA58,Pit 4 - context 18,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,Basso Medioevo,Medioevo
"541",CLA58,Pit 181 - context 243,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1150-1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,,Medioevo
"542",CLA58,Pit 9 - context 20,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,Basso Medioevo,Medioevo
"543",CLA58,Pit 181 - context 234,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,Basso Medioevo,Medioevo
"546",CLA57,Edificio β ,Tarquinia (sacred),"70",micro,(end of the fourth century BCE to the beginning of the third century BCE,"3",sacred,,Tarquinia,,"318",,,"Patrizi, G.,_Rageot, M.,_Cafisso, S.,_Pennetta, A.,_Fiorini, L.,_De Benedetto, G. E.,_Spiteri, C.,_Fiorentino, G._2024_Signs of the sacred at the sanctuary of Gravisca, Italy: reconstruction of an Etruscan ritual through a multidisciplinary approach. Archaeometry",Lazio,Viterbo,Prima Repubblica (Roma),Periodo Repubblicano (Roma)
"548",CLA58,Pit 4 - context 19,Tarquinia - Palazzo Vitelleschi (settlement),"81",micro,1390 AD,"3",settlement,,Tarquinia - Palazzo Vitelleschi,,"319",,,"Clark, G.,_Costantini, L.,_Finetti, A.,_Giorgi, J.,_Jones, A.,_Reese, D.,_Sutherland, S.,_Whitehouse, D._1989_The food refuse of an affluent urban household in the late fourteenth century: Faunal and botanical remains from the Palazzo Vitelleschi, Tarquinia (Viterbo)_Papers of the British School at Rome, 57_200-321",Lazio,Viterbo,Basso Medioevo,Medioevo
"563",CLA59,Drain fill - E142,Mazzano Romano - Mola di Monte Gelato (settlement),"550",micro,Roman period,"3",settlement,,Mazzano Romano - Mola di Monte Gelato,,"320",,,"Giorgi, J. A.,_Potter, T. W._King, A. C.,_1997_The charred plant remains_Excavations at the Mola di Monte Gelato, 11_407-411",Lazio,Viterbo,Età tardoimperiale,Periodo Imperiale (Roma)
"578",CLA59,Ash - D337,Mazzano Romano - Mola di Monte Gelato (settlement),"550",micro,Phase 5 - Early Medieval,"3",settlement,,Mazzano Romano - Mola di Monte Gelato,,"320",,,"Giorgi, J. A.,_Potter, T. W._King, A. C.,_1997_The charred plant remains_Excavations at the Mola di Monte Gelato, 11_407-411",Lazio,Viterbo,Alto Medioevo,Medioevo
"625",CLA72,Vessel A (Santa Severa - Pyrgi - well),Santa Severa - Pyrgi - well,"84",micro,,"3",underwater,,,,"827",,,"Kodýdková, K.,_Beneš, J.,_Komárková, V.,_Paclíková, K._2013_Pilot archaeobotanical analysis of the sediment the well 112 in Pyrgi, Santa Severa_Archaeologia maritima mediterranea: International Journal on Underwater Archaeology: 10, 2013_181-190",Lazio,Roma,Periodo Etrusco Arcaico,Periodo Etrusco
"630",CLA73,South well - cut 10,Santa Severa - Pyrgi - temples (sacred),"626",micro,,"3",sacred,,,,"828",,,"Follieri, M.,_Coccolini, G.B.L.,_1980_I legni dei pozzi del tempio A nel santuario etrusco di Pyrgi (S. Severa, Roma)_Studi etruschi, 48_277-29",Lazio,Roma,Periodo Etrusco Arcaico,Periodo Etrusco
"632",CLA73,West well - cut 6,Santa Severa - Pyrgi - temples (sacred),"626",micro,,"3",sacred,,,,"828",,,"Follieri, M.,_Coccolini, G.B.L.,_1980_I legni dei pozzi del tempio A nel santuario etrusco di Pyrgi (S. Severa, Roma)_Studi etruschi, 48_277-29",Lazio,Roma,Periodo Etrusco Arcaico,Periodo Etrusco
"635",CLA73,West well - cut 9,Santa Severa - Pyrgi - temples (sacred),"626",micro,,"3",sacred,,,,"828",,,"Follieri, M.,_Coccolini, G.B.L.,_1980_I legni dei pozzi del tempio A nel santuario etrusco di Pyrgi (S. Severa, Roma)_Studi etruschi, 48_277-29",Lazio,Roma,Periodo Etrusco Arcaico,Periodo Etrusco
